labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,
LGA1,-52,48,17,G,-49.639721,50.113274,29.732788,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,
LGA2,-54,40,23,G,-51.236485,41.961037,33.740902,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,
LGA3,-57,31,30,G,-52.031803,32.012592,36.353046,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,
LGA4,-59,22.666667,34.666667,G,-53.208832,24.012028,39.924484,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,
LGA5,-59.333333,13,39.333333,G,-53.301922,14.258825,42.75161,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,
LGA6,-60,4,44,G,-54.716408,5.168546,46.286152,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,
LGA7,-62,-7,48,G,-53.16209,-4.007544,48.620178,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,
LGA8,-62,-16,51,G,-53.026482,-13.02279,51.825279,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,
LGA9,-57,46,8,G,-53.021477,49.298756,21.08987,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,
LGA10,-59,38,13,G,-55.139149,40.74966,24.628983,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,
LGA11,-62.4,28.8,18.8,G,-56.185547,30.728741,27.247787,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,
LGA12,-64,21,25,G,-57.86364,22.199598,31.021269,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,
LGA13,-65.142857,11.142857,29.142857,G,-59.222141,12.319903,34.027565,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,
LGA14,-66,1,34,G,-59.512272,2.963812,37.587162,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,
LGA15,-66,-9,39,G,-58.201717,-6.516255,41.01231,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,
LGA16,-66,-19,43,G,-58.610466,-16.044039,44.116669,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,
