labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
ME1,-38.857143,13.142857,-39.142857,D,-30,32,-39,D,11.11%,Left-Cerebral-White-Matter,59.26%,ctx-lh-inferiortemporal,29.63%,ctx-lh-middletemporal,NaN,NaN
ME2,-41,16,-37,D,-32.571429,32.428571,-36.857143,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
ME3,-45.333333,16.666667,-33.666667,D,-35.142857,32.857143,-34.714286,D,37.04%,Left-Cerebral-White-Matter,51.85%,ctx-lh-middletemporal,3.70%,ctx-lh-superiortemporal,NaN,NaN
ME4,-47,18,-31,D,-37.714286,33.285714,-32.571429,D,11.11%,Unknown,22.22%,Left-Cerebral-White-Matter,3.70%,ctx-lh-middletemporal,62.96%,ctx-lh-superiortemporal
ME5,-48.666667,18,-27.333333,D,-40.285714,33.714286,-30.428571,D,51.85%,Left-Cerebral-White-Matter,25.93%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
ME6,-51,18,-25,D,-42.857143,34.142857,-28.285714,D,44.44%,Left-Cerebral-White-Matter,48.15%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
ME7,-54.5,19,-22.5,D,-45.428571,34.571429,-26.142857,D,14.81%,Left-Cerebral-White-Matter,55.56%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
ME8,-90,126,72,D,-48,35,-24,D,7.41%,Unknown,62.96%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
ME9,,,,,,,,,,,,,,,,
ME10,,,,,,,,,,,,,,,,
ME11,,,,,,,,,,,,,,,,
ME12,,,,,,,,,,,,,,,,
ME13,,,,,,,,,,,,,,,,
ME14,,,,,,,,,,,,,,,,
ME15,,,,,,,,,,,,,,,,
STP1,-28,3,-54,D,-20,27,-54,D,88.89%,Unknown,11.11%,ctx-lh-fusiform,NaN,NaN,NaN,NaN
STP2,-29.333333,5,-50.666667,D,-22.636364,27.636364,-51.363636,D,11.11%,Unknown,48.15%,ctx-lh-fusiform,40.74%,ctx-lh-inferiortemporal,NaN,NaN
STP3,-33,7,-48,D,-25.272727,28.272727,-48.727273,D,18.52%,Left-Cerebral-White-Matter,70.37%,ctx-lh-inferiortemporal,NaN,NaN,NaN,NaN
STP4,-35,7.5,-45.5,D,-27.909091,28.909091,-46.090909,D,59.26%,Left-Cerebral-White-Matter,40.74%,ctx-lh-inferiortemporal,NaN,NaN,NaN,NaN
STP5,-38.666667,9.333333,-42,D,-30.545455,29.545455,-43.454545,D,29.63%,Left-Cerebral-White-Matter,70.37%,ctx-lh-inferiortemporal,NaN,NaN,NaN,NaN
STP6,-42.666667,12.666667,-40,D,-33.181818,30.181818,-40.818182,D,51.85%,Left-Cerebral-White-Matter,3.70%,ctx-lh-inferiortemporal,33.33%,ctx-lh-middletemporal,NaN,NaN
STP7,-44.5,13.5,-38.5,D,-35.818182,30.818182,-38.181818,D,88.89%,Left-Cerebral-White-Matter,7.41%,WM-hypointensities,3.70%,ctx-lh-middletemporal,NaN,NaN
STP8,-48.8,15.6,-35.2,D,-38.454545,31.454545,-35.545455,D,11.11%,Unknown,3.70%,Left-Cerebral-White-Matter,85.19%,ctx-lh-middletemporal,NaN,NaN
STP9,-52.333333,17.333333,-31.333333,D,-41.090909,32.090909,-32.909091,D,33.33%,Unknown,55.56%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
STP10,-53.714286,16.857143,-27.142857,D,-43.727273,32.727273,-30.272727,D,11.11%,Left-Cerebral-White-Matter,88.89%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
STP11,-56,18,-23,D,-46.363636,33.363636,-27.636364,D,3.70%,Left-Cerebral-White-Matter,96.30%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
STP12,-59,18,-21,D,-49,34,-25,D,40.74%,Unknown,59.26%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN
AM1,-24,-6,-21,D,-15,11,-27,D,100.00%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN,NaN
AM2,-26,-5,-21,D,-18,12,-27,D,100.00%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN,NaN
AM3,-29,-5,-21,D,-21,12,-27,D,100.00%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN,NaN
AM4,-33.333333,-4,-21,D,-25,13,-27,D,7.41%,Left-Inf-Lat-Vent,62.96%,Left-Hippocampus,29.63%,Left-Amygdala,NaN,NaN
AM5,-38.923077,-3.846154,-22,D,-29,13,-27,D,88.89%,Left-Cerebral-White-Matter,11.11%,Left-Inf-Lat-Vent,NaN,NaN,NaN,NaN
AM6,-42.25,-1.75,-21.25,D,-32,14,-26,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
AM7,-45.6,-1.2,-21.8,D,-35,15,-26,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
AM8,-50.4,-1.2,-23.2,D,-39,16,-26,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
AM9,-53.5,-0.25,-22.25,D,-42,17,-26,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN
AM10,-57.333333,0.333333,-20.666667,D,-46,17,-26,D,62.96%,Left-Cerebral-White-Matter,37.04%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN
AM11,-60.4,0.8,-20.8,D,-49,18,-26,D,33.33%,Left-Cerebral-White-Matter,66.67%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN
AM12,-64.666667,0.666667,-19,D,-53,18,-25,D,37.04%,Unknown,62.96%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN
AM13,-67,3,-19,D,-56,20,-25,D,77.78%,Unknown,22.22%,ctx-lh-middletemporal,NaN,NaN,NaN,NaN
AM14,,,,,,,,,,,,,,,,
AM15,,,,,,,,,,,,,,,,
AHC1,-26.857143,-15.142857,-25.428571,D,-18,3,-31,D,66.67%,Left-Cerebral-White-Matter,33.33%,ctx-lh-parahippocampal,NaN,NaN,NaN,NaN
AHC2,-30,-15,-25,D,-21.384615,3.230769,-30.230769,D,70.37%,Left-Cerebral-White-Matter,11.11%,Left-Hippocampus,18.52%,ctx-lh-parahippocampal,NaN,NaN
AHC3,-33.25,-14.75,-24,D,-24.769231,3.461538,-29.461538,D,66.67%,Left-Cerebral-White-Matter,33.33%,Left-Hippocampus,NaN,NaN,NaN,NaN
AHC4,-36.8,-14.4,-23.2,D,-28.153846,3.692308,-28.692308,D,59.26%,Left-Cerebral-White-Matter,37.04%,Left-Hippocampus,3.70%,ctx-lh-parahippocampal,NaN,NaN
